Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
209,209,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
210,210,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
211,211,0,0,000000000000000000000000001001000000000000000000000000000010010000000000000000000000000000100100
212,212,0,0,000000000000000000000000010011000000000000000000000000000100110000000000000000000000000001001100
213,213,0,0,000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000000
214,214,0,0,000000000000000000000000011101000000000000000000000000000111010000000000000000000000000001110100
215,215,0,0,000000000000000000000000011101000000000000000000000000000111010000000000000000000000000001110100
216,216,0,0,000000000000000000000000001011000000000000000000000000000010110000000000000000000000000000101100
217,217,0,0,000000000000000000000000010111100000000000000000000000000101111000000000000000000000000001011110
218,218,0,0,000000000000000000000000101011000000000000000000000000001010110000000000000000000000000010101100
219,219,0,0,000000000000000000000000101001100000000000000000000000001010011000000000000000000000000010100110
220,220,0,0,000000000000000000000000001110000000000000000000000000000011100000000000000000000000000000111000
221,221,0,0,000000000000000000000000011110000000000000000000000000000111100000000000000000000000000001111000
222,222,0,0,000000000000000000000000010011000000000000000000000000000100110000000000000000000000000001001100
223,223,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
224,224,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
225,225,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
226,226,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
227,227,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
228,228,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
229,229,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
230,230,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
231,231,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
232,232,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
233,233,0,0,000000000000000000000000000011000000000000000000000000000000110000000000000000000000000000001100
234,234,0,0,000000000000000000000000000010100000000000000000000000000000101000000000000000000000000000001010
235,235,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
236,236,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
237,237,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
238,238,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
239,239,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
240,240,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
