Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out2_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
299,299,0,0,000000000000000000000000010100000000000000000000000000000100101100000000000000000000000000000000
300,300,0,0,000000000000000000000000010100010000000000000000000000000101000100000000000000000000000000000000
301,301,0,0,000000000000000000000000010100010000000000000000000000000101000100000000000000000000000000000000
302,302,0,0,000000000000000000000000010100010000000000000000000000000101000100000000000000000000000000000000
303,303,0,0,000000000000000000000000010100010000000000000000000000000101000100000000000000000000000000000000
304,304,0,0,000000000000000000000000010100010000000000000000000000000101000100000000000000000000000000000000
305,305,0,0,000000000000000000000000010100000000000000000000000000000101000000000000000000000000000000000000
306,306,0,0,000000000000000000000000010100000000000000000000000000000101000000000000000000000000000000000000
307,307,0,0,000000000000000000000000010100000000000000000000000000000101000000000000000000000000000000000000
308,308,0,0,000000000000000000000000010100000000000000000000000000000101000000000000000000000000000000000000
309,309,0,0,000000000000000000000000010100000000000000000000000000000101000000000000000000000000000000000000
310,310,0,0,000000000000000000000000010010110000000000000000000000000101000000000000000000000000000000000000
311,311,0,0,000000000000000000000000010010110000000000000000000000000101000000000000000000000000000000000000
312,312,0,0,000000000000000000000000010010110000000000000000000000000101000000000000000000000000000000000000
313,313,0,0,000000000000000000000000010010110000000000000000000000000101000000000000000000000000000000000000
314,314,0,0,000000000000000000000000010010110000000000000000000000000101000000000000000000000000000000000000
315,315,0,0,000000000000000000000000010011110000000000000000000000000100111100000000000000000000000000000000
316,316,0,0,000000000000000000000000010011110000000000000000000000000100111100000000000000000000000000000000
317,317,0,0,000000000000000000000000010011110000000000000000000000000100111100000000000000000000000000000000
318,318,0,0,000000000000000000000000010011110000000000000000000000000100111100000000000000000000000000000000
319,319,0,0,000000000000000000000000010011110000000000000000000000000100111100000000000000000000000000000000
320,320,0,0,000000000000000000000000010011110000000000000000000000000100111100000000000000000000000000000000
